"Name","Gross Export","Share","Code","Sector"
"Other knitted fabrics","19342","0.000050852526703988956","6002","Textiles"
"Men's overcoats, knit","3726","0.000009796118007396487","6101","Textiles"
"Women's overcoats, knit","2069","0.000005439658657354625","6102","Textiles"
"Men's suits, knit","27361","0.00007193547632860313","6103","Textiles"
"Women's suits, knit","38568","0.00010140007496222965","6104","Textiles"
"Men's shirts, knit","11361","0.000029869483811602653","6105","Textiles"
"Men's undergarments, knit","4021","0.000010571709744428684","6107","Textiles"
"T-shirts, knit","57116","0.00015016507678756246","6109","Textiles"
"Sweaters, pullovers, sweatshirts etc., knit","26751","0.00007033171036389249","6110","Textiles"
"Activewear, knit","10279","0.000027024771067640497","6112","Textiles"
"Garments knit with impregnated fibers","3403","0.00000894691078345954","6113","Textiles"
"Other garments, knit","54965","0.00014450982991855821","6114","Textiles"
"Socks, stockings, etc., knit","2954","0.000007766433868451213","6115","Textiles"
"Gloves, knit","1773","0.000004661437795790116","6116","Textiles"
"Other clothing accesories, knit","9079","0.00002386982162886546","6117","Textiles"
"Men's overcoats, not knit","17447","0.00004587033571525671","6201","Textiles"
"Womens overcoats, not knit","8897","0.000023391320963984577","6202","Textiles"
"Men's suits and pants","125996","0.00033125917457324955","6203","Textiles"
"Women's suits and pants","126721","0.0003331652898591761","6204","Textiles"
"Men's shirts","98921","0.0002600756278608878","6205","Textiles"
"Women's shirts","84569","0.00022234243257313835","6206","Textiles"
"Men's undergarments","1298","0.0000034126036429416635","6207","Textiles"
"Women's undergarments","3139","0.000008252821906929031","6208","Textiles"
"Garments made of textile felts and nonwoven fabric","5972","0.000015701131706970428","6210","Textiles"
"Activewear","69196","0.00018192490113789784","6211","Textiles"
"Brassieres","5071","0.00001333229050335684","6212","Textiles"
"Gloves","4254","0.000011184295760457503","6216","Textiles"
"Other clothing accesories","8089","0.000021266988341876055","6217","Textiles"
"House linen","77269","0.0002031498234872569","6302","Textiles"
"Other furnishing articles","2691","0.0000070749741164530175","6304","Textiles"
"Tents, tarpaulins, etc.","7383","0.00001941082642206341","6306","Textiles"
"Other made up articles","17266","0.000045394464174908145","6307","Textiles"
"Used clothes and textiles","36533","0.00009604980653897366","6309","Textiles"
"Used or new rags textile scraps","7897","0.00002076219643167205","6310","Textiles"
"Waterproof footwear","40858","0.00010742077014122535","6401","Textiles"
"Other footwear of rubber or plastics","52133","0.00013706414924304913","6402","Textiles"
"Leather footwear","163498","0.000429856602784034","6403","Textiles"
"Textile footwear","47846","0.0001257930923730253","6404","Textiles"
"Other footwear","82227","0.0002161850229184624","6405","Textiles"
"Parts of footwear","29753","0.0000782243422098947","6406","Textiles"
"Hats","6501","0.000017091938584563758","6504","Textiles"
"Hats, knit","6082","0.000015990335405524807","6505","Textiles"
"Other headgear","3120","0.000008202868540815094","6506","Textiles"
"Worked building stone","212298","0.0005581578799608855","6802","Stone"
"Grindstones","2672","0.00000702502075033908","6804","Stone"
"Natural or artificial abrasive powder","38456","0.00010110561301461065","6805","Stone"
"Mineral wools and insulating materials","41142","0.0001081674415084021","6806","Stone"
"Asphalt","6036748","0.0158713622621886","6807","Stone"
"Plaster articles","37486","0.0000985553622182675","6809","Stone"
"Articles of cement, of concrete or of artificial stone","151425","0.00039811518230542487","6810","Stone"
"Asbestos fibres","1878","0.000004937495871682931","6812","Stone"
"Friction material and articles thereof","1861","0.000004892800754633619","6813","Stone"
"Unglazed ceramic flags and pavers","32896","0.00008648768061495297","6907","Stone"
"Glazed ceramic flags and pavers","131378","0.00034540912280615557","6908","Stone"
"Ceramic wares for technical ware","16175","0.00004252608931015517","6909","Stone"
"Ceramic sinks, washbasins, and similar sanitary fixtures","203327","0.0005345720037815098","6910","Stone"
"Porcelain or china household articles","11057","0.000029070229953779642","6911","Stone"
"Ceramic household articles","8650","0.000022741927204503383","6912","Stone"
"Ornamental ceramic articles","40334","0.00010604310888629358","6913","Stone"
"Other ceramic articles","13090","0.000034415240127971017","6914","Stone"
"Glass, cast or rolled","23650","0.00006217879518919134","7003","Stone"
"Drawn and blown glass","3299","0.000008673481832099037","7004","Stone"
"Float glass","10434855","0.027434533271624064","7005","Stone"
"Worked glass","2255","0.000005928675820364755","7006","Stone"
"Safety glass","26956","0.00007087068089301655","7007","Stone"
"Glass mirrors","2503","0.000006580698704378263","7009","Stone"
"Glass containers for conveyance","871958","0.002292486168946169","7010","Stone"
"Glassware for interior decorative use","210169","0.0005525604738315921","7013","Stone"
"Glass paving blocks or other molded products","39709","0.00010439990605359827","7016","Stone"
"Laboratory, hygienic or pharmaceutical glassware","3367","0.000008852262300296288","7017","Stone"
"Glass beads","14062","0.0000369707491733788","7018","Stone"
"Glass fibers","22990","0.00006044357299786506","7019","Stone"
"Other articles of glass","1480","0.000003891104307822545","7020","Stone"
"Diamonds","98809","0.00025978116591326875","7102","Stone"
"Gold","757402752","1.9913061561242233","7108","Stone"
"Platinum","37259","0.00009795855094943256","7110","Stone"
"Scrap of precious metal","5566305","0.014634509029833896","7112","Stone"
"Jewelry of precious metal","2002333","0.005264382812158945","7113","Stone"
"Other articles of precious metals","13542","0.00003560360441657628","7115","Stone"
"Imitation jewelry","139323","0.0003662975172153786","7117","Stone"
"Coin","2851","0.000007495634041623023","7118","Stone"
"Ferroalloys","96205032","0.252935009763112","7202","Metals"
"Ferrous products from the reduction of iron ore","189181920","0.49738282694198643","7203","Metals"
"Ferrous waste and scrap","345700","0.0009088883508204415","7204","Metals"
"Iron and nonalloy steel","1035","0.0000027211438909434683","7206","Metals"
"Semifinished products of iron or nonalloy steel","987309","0.0025957583128729516","7207","Metals"
"Flat-rolled iron, width > 600mm, hot-rolled, not clad","48104640","0.12647308914206262","7208","Metals"
"Flat-rolled iron, width > 600mm, cold-rolled, not clad","34803","0.00009150142109807299","7209","Metals"
"Flat rolled iron, width > 600mm, clad","415108","0.0010913706263591897","7210","Metals"
"Flat-rolled iron, width < 600mm, clad","13375","0.00003516454061968009","7212","Metals"
"Angles of iron or nonalloy steel","357365","0.0009395570884898673","7216","Metals"
"Wire of iron or nonalloy steel","384878","0.001011892191747382","7217","Metals"
"Tubes of cast iron","1540","0.000004048851779761296","7303","Metals"
"Tubes, seamless, of iron or steel","741160","0.0019486019383687546","7304","Metals"
"Other tubes and pipes, diameter > 406.4 mm, of iron or steel","8044","0.00002114867773792199","7305","Metals"
"Other tubes, pipes and hollow profiles of iron or steel","1163657","0.0030593991658972018","7306","Metals"
